SERIAL,NOMBRE_PRODUCTO,SEGMENTO,PROVEEDOR,RUBRO,SUB_CATEGORIA
7595461000032,CAFE MOLIDO AMANECER (GOURMET) 500G,MISCELANEOS,"ITC DISTRIBUCIONES CENTRO, C.A",MISCELANEOS,COMESTIBLES
7509546054650,CREMA DENTAL COLGATE LUMINOUS WHITE 75ML,MISCELANEOS,"IMPORTADORA FH44, C.A",MISCELANEOS,CUIDADO PERSONAL
7501035911031,CREMA DENTAL COLGATE 100ML,MISCELANEOS,"IMPORTADORA FH44, C.A",MISCELANEOS,CUIDADO PERSONAL
7591083018561,SUAVIZANTE FRESCA PRIMAVERA SUAVITEL 500ML,MISCELANEOS,"IMPORTADORA FH44, C.A",MISCELANEOS,HOGAR
7592432900315,DAYFLU DIA/NOCHE 500MG/10MG/2MG X 15 CAP VIVAX,FARMACIA,X,FARMACIA,OTC
7595368012732,SORKINOX 250/25MG X 30 TAB SNC PHARMA,FARMACIA,X,FARMACIA,RX
7591585514875,LETISAN (VIT C) SABOR A FRUTAS 500MG X 10 TAB MASTICABLES - LETI,FARMACIA,X,FARMACIA,OTC
7591016850305,CHOCOLATE SAVOY CARRE 25GR,MISCELANEOS,NESTLÉ VENEZUELA S.A.,MISCELANEOS,COMESTIBLES
7591016852101,CHOCOLATE SAVOY CARRE 100GR,MISCELANEOS,NESTLÉ VENEZUELA S.A.,MISCELANEOS,COMESTIBLES
7591585375872,VALSARTAN 80MG X 14 TAB GENVEN,FARMACIA,X,FARMACIA,RX
7592454003285,OLMESARTAN  MEDOXOMIL 20MG X 30 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
